DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7912250;1;1;1;155.37870706;3
7912252;1;1;1;42.654115657;2
7912253;1;1;1;298.5788096;3
7912253;2;1;2;298.5788096;4
7912253;1;1;1;298.5788096;3
7912253;2;1;2;298.5788096;4
7912258;1;1;1;100.58544203;2
7912258;1;1;1;100.58544203;2
7912260;1;1;1;317.51115037;4
7912260;2;1;2;317.51115037;5
7912260;1;1;1;317.51115037;4
7912260;2;1;2;317.51115037;5
7912261;1;1;1;247.66950716;3
7912261;2;1;2;247.66950716;4
7912261;3;1;3;247.66950716;5
7912261;4;1;4;247.66950716;6
7912261;5;1;5;247.66950716;7
7912261;1;1;1;247.66950716;3
7912261;2;1;2;247.66950716;4
7912261;3;1;3;247.66950716;5
7912261;4;1;4;247.66950716;6
7912261;5;1;5;247.66950716;7
7912263;1;1;1;126.55974827;3
7912263;2;1;2;126.55974827;4
7912263;1;1;1;126.55974827;3
7912263;2;1;2;126.55974827;4
7912270;1;1;1;15.789867783;3
7912270;2;1;2;15.789867783;4
7912270;1;1;1;15.789867783;3
7912270;2;1;2;15.789867783;4
7912277;1;1;1;182.23166887;3
7912277;1;1;1;182.23166887;3
7912281;1;1;1;110.99376634;3
7912281;2;1;2;110.99376634;4
7912281;1;1;1;110.99376634;3
7912281;2;1;2;110.99376634;4
7912284;1;1;1;60.746414298;3
7912290;1;1;1;89.471121779;3
7912290;1;1;1;89.471121779;3
7912298;1;1;1;82.8831019;1
7912298;1;1;1;82.8831019;1
7912301;1;1;1;73.921342347;2
7912323;1;1;1;44.059768534;1
7912323;1;1;1;44.059768534;1
7912334;1;1;1;4.961533475;2
7912334;1;1;1;4.961533475;2
7912347;1;1;1;11.900517937;5
7912347;1;1;1;11.900517937;5
7912350;1;1;1;298.5788096;3
7912350;2;1;2;298.5788096;4
7912359;1;1;1;94.643890409;3
7912359;2;1;2;94.643890409;4
7912359;1;1;1;94.643890409;3
7912359;2;1;2;94.643890409;4
7912376;1;1;1;239.8067693;3
7912376;2;1;2;239.8067693;4
7912376;3;1;3;239.8067693;5
7912395;1;1;1;207.81346186;3
7912395;1;1;1;207.81346186;3
7912399;1;1;1;198.18668759;1
7912399;1;1;1;198.18668759;1
7912410;1;1;1;327.95722199;3
7912410;2;1;2;327.95722199;4
7912410;1;1;1;327.95722199;3
7912410;2;1;2;327.95722199;4
7912414;1;1;1;735.89398125;3
7912414;2;1;2;735.89398125;4
7912414;1;1;1;735.89398125;3
7912414;2;1;2;735.89398125;4
7912417;1;1;1;167.68922503;3
7912417;2;1;2;167.68922503;4
7912417;1;1;1;167.68922503;3
7912417;2;1;2;167.68922503;4
7912447;1;1;1;1352.6886754;2
7912447;2;1;2;1352.6886754;3
